SN,Gtin,Serial no,Status,Sending Status
0,88,Serial no,allow,1200
1,88,1RF575NAN,allow,1200
2,88,Y4291NVSE,allow,1200
3,88,VT0S9ZZ3G,allow,1200
4,88,5KHXWKT7B,allow,1200
5,88,B5G5ZT6RH,allow,1200
6,88,GARV0C4DG,allow,1200
7,88,SDTXMNCS2,allow,1200
8,88,FMKV027XZ,allow,1200
9,88,NR53NV0CG,allow,1200
10,88,D39RAP5F5,allow,1200
11,88,58ZTK45N2,allow,1200
12,88,KH2ZKS2TS,allow,1200
13,88,GPG5WW31P,allow,1200
14,88,ZPVV2K1X4,allow,1200
15,88,W067DTH11,allow,1200
16,88,PTX6EE33A,allow,1200
17,88,Z9HCSS05G,allow,1200
18,88,WGKXXYZ9B,allow,1200
19,88,NAHBET1KV,allow,1200
20,88,5MBTASFA3,allow,1200
21,88,F28DN889C,allow,1200
22,88,8A31P03D7,allow,1200
23,88,B1VFY5DYA,allow,1200
24,88,GVAC1VB07,allow,1200
25,88,DP236WNA1,allow,1200
26,88,4DPXH9A11,allow,1200
27,88,DR45S0EDA,allow,1200
28,88,TYDMWT2DK,allow,1200
29,88,FCT4MG0DR,allow,1200
30,88,2S8EKNF54,allow,1200
31,88,C40BN5V6P,allow,1200
32,88,22VSSVVH1,allow,1200
33,88,T90975VE6,allow,1200
34,88,48399FYK0,allow,1200
35,88,7T11227HP,allow,1200
36,88,VC838DTSH,allow,1200
37,88,S7B60MWED,allow,1200
38,88,EB0KBN2KV,allow,1200
39,88,W636YMX4Y,allow,1200
40,88,5YTY5E2N5,allow,1200
41,88,ZDSFA14CS,allow,1200
42,88,YSP1X303Y,allow,1200
43,88,VCPCG69W3,allow,1200
44,88,8PYF8710T,allow,1200
45,88,RC2X3E4PD,allow,1200
46,88,BP2YRW57T,allow,1200
47,88,5SEHW3DPE,allow,1200
48,88,FFXAGW4M0,allow,1200
49,88,XB3XEFSY7,allow,1200
50,88,7NR8SRFSG,allow,1200
51,88,P7HRMZFNY,allow,1200
52,88,SY51H3B97,allow,1200
53,88,F58ZH304D,allow,1200
54,88,N1DY7CP14,allow,1200
55,88,H57F9NSAK,allow,1200
56,88,BA9Z9PCHD,allow,1200
57,88,YT8CKH0N9,allow,1200
58,88,FF697DVV7,allow,1200
59,88,94X7HR07K,allow,1200
60,88,CKZWR6TCD,allow,1200
61,88,GTDMSMCC7,allow,1200
62,88,38X6CDEXR,allow,1200
63,88,SZFN1FF01,allow,1200
64,88,YDXX9YG0D,allow,1200
65,88,HF6A781M7,allow,1200
66,88,49F60MAB3,allow,1200
67,88,E7AY0BA0S,allow,1200
68,88,DC322N0DD,allow,1200
69,88,AKD0462F5,allow,1200
70,88,59F9ZAVBF,allow,1200
71,88,FFNM2E6ZK,allow,1200
72,88,S6RAPBH2K,allow,1200
73,88,3FTW4ZXHX,allow,1200
74,88,8KBP10XBE,allow,1200
75,88,K4XCT55M1,allow,1200
76,88,B416DFPTZ,allow,1200
77,88,5PBBAFD40,allow,1200
78,88,6RCE376VK,allow,1200
79,88,M724EVB45,allow,1200
80,88,1E01G4RM2,allow,1200
81,88,RXXDZG0CE,allow,1200
82,88,3P807SCPT,allow,1200
83,88,BR0RWXWKP,allow,1200
84,88,9AFG3F5ND,allow,1200
85,88,W4XK2Y56X,allow,1200
86,88,GSEGYRBHM,allow,1200
87,88,B7Z3GF22K,allow,1200
88,88,Y0KSBBHNW,allow,1200
89,88,9Y4WGHG6P,allow,1200
90,88,7ZF8WF6NK,allow,1200
91,88,RFWPTX0MD,allow,1200
92,88,F3F0GA7MT,allow,1200
93,88,YW7TTBWK6,allow,1200
94,88,2477A5WAN,allow,1200
95,88,DBG4CKWBP,allow,1200
96,88,BZ1986K46,allow,1200
97,88,40N470HXK,allow,1200
98,88,A77D3TGR1,allow,1200
99,88,YPZ162GHY,allow,1200
100,88,X1AY011TD,allow,1200
101,88,89RBECC0K,allow,1200
102,88,713660X8F,allow,1200
103,88,X86GW72WT,allow,1200
104,88,KMN86WVCE,allow,1200
105,88,T790D9T1K,allow,1200
106,88,NCTWXTGRV,allow,1200
107,88,2RXPFM155,allow,1200
108,88,TDGWH699S,allow,1200
109,88,604XHA2VK,allow,1200
110,88,MRZNAR8NB,allow,1200
111,88,T87R00FVD,allow,1200
112,88,VME7D1SRV,allow,1200
113,88,TRC97SPG0,allow,1200
114,88,EY8TZX447,allow,1200
115,88,CR760FPPW,allow,1200
116,88,E2GBW6KSK,allow,1200
117,88,HXP59RY9H,allow,1200
118,88,MS82AWV21,allow,1200
119,88,DW5AEBYV4,allow,1200
120,88,4ATW0A1S2,allow,1200
121,88,6N8T4GKAY,allow,1200
122,88,M28WZZ12B,allow,1200
123,88,7D48CSBF3,allow,1200
124,88,VPMS2ZH5F,allow,1200
125,88,MX4VDRYWM,allow,1200
126,88,W438GW126,allow,1200
127,88,E0HH16F3B,allow,1200
128,88,HVRK5N6KM,allow,1200
129,88,KWA29HEZZ,allow,1200
130,88,H1ASP8N2B,allow,1200
131,88,ESRKR57YC,allow,1200
132,88,AWG6GP40Y,allow,1200
133,88,3R0Z968H4,allow,1200
134,88,G7MVVN644,allow,1200
135,88,YH2YX5T64,allow,1200
136,88,WE4S0ED3M,allow,1200
137,88,P9Y2952M7,allow,1200
138,88,YGZGVBS8C,allow,1200
139,88,NV1ZBRXZP,allow,1200
140,88,4B96G3HNA,allow,1200
141,88,E060B0NHS,allow,1200
142,88,APHXFYES4,allow,1200
143,88,R7MEP57GH,allow,1200
144,88,89M4E9AR2,allow,1200
145,88,9X21EBTC5,allow,1200
146,88,GB070A7R4,allow,1200
147,88,K8AHFA53K,allow,1200
148,88,995FSRWXF,allow,1200
149,88,P5271KAS1,allow,1200
150,88,4GN696DXR,allow,1200
151,88,HGXY48HF6,allow,1200
152,88,KR9HEP069,allow,1200
153,88,Y2Z2YB97B,allow,1200
154,88,CMVGCN6MP,allow,1200
155,88,9140448ZS,allow,1200
156,88,ZAW3Y4T8H,allow,1200
157,88,7SRVC9093,allow,1200
158,88,92GDCCG69,allow,1200
159,88,MN84WXPF0,allow,1200
160,88,3BWDA50SW,allow,1200
161,88,9B3F7203P,allow,1200
162,88,K73AXW02N,allow,1200
163,88,Z2HYGYXAA,allow,1200
164,88,74AKTRW83,allow,1200
165,88,HDC1FV5Y1,allow,1200
166,88,7TAYV826T,allow,1200
167,88,NHW3M8KGR,allow,1200
168,88,SR5T23VBD,allow,1200
169,88,7YGDX5F45,allow,1200
170,88,S4RC7NR9D,allow,1200
171,88,B4X3FY9Z3,allow,1200
172,88,MMD352T8F,allow,1200
173,88,V8D1C5VH0,allow,1200
174,88,BV72D50VZ,allow,1200
175,88,VVDP0MCPK,allow,1200
176,88,Z1EEEAPWZ,allow,1200
177,88,ZND1R4S9T,allow,1200
178,88,AF2VZ6FDW,allow,1200
179,88,WV7779CA2,allow,1200
180,88,ECSKFEP9C,allow,1200
181,88,EEEWF0NPP,allow,1200
182,88,D58NCS4X7,allow,1200
183,88,6MRR973WS,allow,1200
184,88,A7YY0KZYH,allow,1200
185,88,M6R4T1591,allow,1200
186,88,4XFSPD89S,allow,1200
187,88,CT98EGPX4,allow,1200
188,88,2PK6GW9WR,allow,1200
189,88,BRF7F4MH2,allow,1200
190,88,95M8PCV3M,allow,1200
191,88,VNXM3HG30,allow,1200
192,88,VAX1K215B,allow,1200
193,88,MYA1EN3C4,allow,1200
194,88,K1WH43MSG,allow,1200
195,88,TP826DM6E,allow,1200
196,88,GCDP9B6B1,allow,1200
197,88,4N2N1306M,allow,1200
198,88,XX8539HWV,allow,1200
199,88,2CAHS9KFA,allow,1200
200,88,A4DSFN2N1,allow,1200
201,88,R1ZSD4DHV,allow,1200
202,88,C7GBPN09H,allow,1200
203,88,HPA061Y56,allow,1200
204,88,MDTGM24PC,allow,1200
205,88,K71WN13Y4,allow,1200
206,88,DT2C8V1WN,allow,1200
207,88,CB8Z9SSWB,allow,1200
208,88,52B0PK8XC,allow,1200
209,88,G1AY0XVTY,allow,1200
210,88,DBSPKTKFK,allow,1200
211,88,K82941VP6,allow,1200
212,88,Z65CN71ZX,allow,1200
213,88,EEXZAM441,allow,1200
214,88,R9WB2K56N,allow,1200
215,88,BZ30WETTT,allow,1200
216,88,7M8P685M3,allow,1200
217,88,AMYT7SK1X,allow,1200
218,88,7XA65P858,allow,1200
219,88,YYM9CT7FZ,allow,1200
220,88,FDZ14SC24,allow,1200
221,88,5RHGK82WZ,allow,1200
222,88,R6WSWFGZR,allow,1200
223,88,NG5Y8X57E,allow,1200
224,88,ZGMGM8YGE,allow,1200
225,88,FHF2YR9G6,allow,1200
226,88,FVCYKMF11,allow,1200
227,88,1A027Z41V,allow,1200
228,88,W9EH2TEHH,allow,1200
229,88,74FAEB7YM,allow,1200
230,88,9RZ1ZDZAE,allow,1200
231,88,BSEC8ER1D,allow,1200
232,88,91NZRX967,allow,1200
233,88,378X60G1T,allow,1200
234,88,ZNN593W4X,allow,1200
235,88,9V1S1E8A9,allow,1200
236,88,DZCY7NY3E,allow,1200
237,88,BAT04TVHH,allow,1200
238,88,GKN0HR8C2,allow,1200
239,88,9BPFV6XGW,allow,1200
240,88,NFHXWZ0RT,allow,1200
241,88,7A5N07NVH,allow,1200
242,88,STAW7RF2T,allow,1200
243,88,7316ZT1GD,allow,1200
244,88,34HMTKZNT,allow,1200
245,88,Y2GPNKWHP,allow,1200
246,88,PHGRVKY9E,allow,1200
247,88,N449SK3R5,allow,1200
248,88,ZKKTSKGEX,allow,1200
249,88,TYCH5CGTT,allow,1200
250,88,HKYZ6DMYT,allow,1200
251,88,MBFD77WZN,allow,1200
252,88,N5HCV8ES6,allow,1200
253,88,F7MH18W77,allow,1200
254,88,VWBVCF837,allow,1200
255,88,83GAZM341,allow,1200
256,88,6EGNY0KX2,allow,1200
257,88,839M9A9RC,allow,1200
258,88,GCACA364S,allow,1200
259,88,TR820YP7T,allow,1200
260,88,VF338FKGC,allow,1200
261,88,FVD68CXHS,allow,1200
262,88,2WXK196CZ,allow,1200
263,88,5GW132D0M,allow,1200
264,88,MS33E19V6,allow,1200
265,88,VD1113B92,allow,1200
266,88,MK0GZZX2B,allow,1200
267,88,N347P6CRG,allow,1200
268,88,VBF0YSZ5N,allow,1200
269,88,CR6DDZK56,allow,1200
270,88,AGTRP9W1B,allow,1200
271,88,DYET4H1TK,allow,1200
272,88,8M6DCKGC5,allow,1200
273,88,N7Y6NNV58,allow,1200
274,88,NRNYRV0P0,allow,1200
275,88,7Z8E7GEFB,allow,1200
276,88,R265G26HH,allow,1200
277,88,BXV1YPR3T,allow,1200
278,88,ETEA75VBC,allow,1200
279,88,SK7Z3RP1A,allow,1200
280,88,RA87TA0T0,allow,1200
281,88,46RWFM7R2,allow,1200
282,88,FRA962YF2,allow,1200
283,88,DKK08AF46,allow,1200
284,88,FRSH1T63C,allow,1200
285,88,VSHDYMSCK,allow,1200
286,88,2VHVSF932,allow,1200
287,88,27TVSF4BT,allow,1200
288,88,CVRFS8025,allow,1200
289,88,4KAY2MN1X,allow,1200
290,88,AYY11GRH6,allow,1200
291,88,GMMCVBXZ8,allow,1200
292,88,D05TP5XZW,allow,1200
293,88,A0E35V509,allow,1200
294,88,WCKVRG5S9,allow,1200
295,88,G52WE9EFD,allow,1200
296,88,EB0DPCP46,allow,1200
297,88,7G174YWB1,allow,1200
