SN,Gtin,Serial no,Status,Sending Status
2,908,RKK3GZZMS,allow,12
3,908,ZS9EWGK0F,allow,12
4,908,K97ZMMANY,allow,12
5,908,KDYF3609Y,allow,12
6,908,A3149A1N6,allow,12
7,908,MTSYHE4RP,allow,12
8,908,84Y8C3ZBC,allow,12
9,908,W6903Y1V9,allow,12
10,908,R8A6Y3XWK,allow,12
11,908,V7KGTTMB5,allow,12
12,908,CW6KYXY0G,allow,12
13,908,YV085FFG5,allow,12
SN,Gtin,Serial no,Status,Sending Status
0,908,Serial no,allow,20
1,908,Z01VD77CV,allow,20
2,908,BBRYE9MHB,allow,20
3,908,RH5EEW2GA,allow,20
4,908,KG12TCZZC,allow,20
5,908,4P0HD7V24,allow,20
6,908,ZXG51DXYP,allow,20
7,908,EV4BDGXMA,allow,20
8,908,6V9YT9MRX,allow,20
9,908,ZKCDG10P2,allow,20
10,908,DRGK2BNH2,allow,20
11,908,95AA67C0M,allow,20
12,908,K706GMHGV,allow,20
13,908,CD73VSWY2,allow,20
14,908,NNC8Z8RD7,allow,20
15,908,201HTRGM0,allow,20
16,908,K7A60EM96,allow,20
17,908,1ZR0X6W5P,allow,20
18,908,2N1DM6E6S,allow,20
SN,Gtin,Serial no,Status,Sending Status
0,908,Serial no,allow,40
1,908,W7PGXWAWA,allow,40
2,908,YG51ZR6XY,allow,40
3,908,1DMW692NY,allow,40
4,908,APYGPDA8K,allow,40
5,908,1NB5ZBTXH,allow,40
6,908,NRYKHHDXP,allow,40
7,908,7Y1AAKCME,allow,40
8,908,XT64881DR,allow,40
9,908,9CTHTK03M,allow,40
10,908,4F0ZSTR9E,allow,40
11,908,90ARG0YHX,allow,40
12,908,STZTCA8VX,allow,40
13,908,GEN1MKGHF,allow,40
14,908,ZD5DWD232,allow,40
15,908,XTSSEPD3K,allow,40
16,908,G027X23RS,allow,40
17,908,TESFCK458,allow,40
18,908,CMK9SYN12,allow,40
19,908,BXP8P40EE,allow,40
20,908,RN47E06BE,allow,40
21,908,R3SPFXH69,allow,40
22,908,26FH4D3W8,allow,40
23,908,25PZP6W5H,allow,40
24,908,M4TMZ8WPM,allow,40
25,908,2CKNX3FRG,allow,40
26,908,ARF20GM09,allow,40
27,908,HS7454M17,allow,40
28,908,B4KE3DY8N,allow,40
29,908,ERZRXB4YE,allow,40
30,908,FGF2A60KE,allow,40
31,908,ECDTHX53S,allow,40
32,908,D09MRRZGG,allow,40
33,908,64N8RMZ16,allow,40
34,908,3B9Z9S747,allow,40
35,908,5PA79W7AY,allow,40
36,908,76DB8DVTV,allow,40
37,908,HMZZBW7SD,allow,40
38,908,S9WC0H6XS,allow,40
