SN,Gtin,Serial no,Status,Sending Status
2,5609,RKK3GZZMS,allow,2000
3,5609,ZS9EWGK0F,allow,2000
4,5609,K97ZMMANY,allow,2000
5,5609,KDYF3609Y,allow,2000
6,5609,A3149A1N6,allow,2000
7,5609,MTSYHE4RP,allow,2000
8,5609,84Y8C3ZBC,allow,2000
9,5609,W6903Y1V9,allow,2000
10,5609,R8A6Y3XWK,allow,2000
11,5609,V7KGTTMB5,allow,2000
12,5609,CW6KYXY0G,allow,2000
13,5609,YV085FFG5,allow,2000
14,5609,Z01VD77CV,allow,2000
15,5609,BBRYE9MHB,allow,2000
16,5609,RH5EEW2GA,allow,2000
17,5609,KG12TCZZC,allow,2000
18,5609,4P0HD7V24,allow,2000
19,5609,ZXG51DXYP,allow,2000
20,5609,EV4BDGXMA,allow,2000
21,5609,6V9YT9MRX,allow,2000
22,5609,ZKCDG10P2,allow,2000
23,5609,DRGK2BNH2,allow,2000
24,5609,95AA67C0M,allow,2000
25,5609,K706GMHGV,allow,2000
26,5609,CD73VSWY2,allow,2000
27,5609,NNC8Z8RD7,allow,2000
28,5609,201HTRGM0,allow,2000
29,5609,K7A60EM96,allow,2000
30,5609,1ZR0X6W5P,allow,2000
31,5609,2N1DM6E6S,allow,2000
32,5609,SGF9X5MXC,allow,2000
33,5609,9B3RY6T88,allow,2000
34,5609,W7PGXWAWA,allow,2000
35,5609,YG51ZR6XY,allow,2000
36,5609,1DMW692NY,allow,2000
37,5609,APYGPDA8K,allow,2000
38,5609,1NB5ZBTXH,allow,2000
39,5609,NRYKHHDXP,allow,2000
40,5609,7Y1AAKCME,allow,2000
41,5609,XT64881DR,allow,2000
42,5609,9CTHTK03M,allow,2000
43,5609,4F0ZSTR9E,allow,2000
44,5609,90ARG0YHX,allow,2000
45,5609,STZTCA8VX,allow,2000
46,5609,GEN1MKGHF,allow,2000
47,5609,ZD5DWD232,allow,2000
48,5609,XTSSEPD3K,allow,2000
49,5609,G027X23RS,allow,2000
50,5609,TESFCK458,allow,2000
51,5609,CMK9SYN12,allow,2000
52,5609,BXP8P40EE,allow,2000
53,5609,RN47E06BE,allow,2000
54,5609,R3SPFXH69,allow,2000
55,5609,26FH4D3W8,allow,2000
56,5609,25PZP6W5H,allow,2000
57,5609,M4TMZ8WPM,allow,2000
58,5609,2CKNX3FRG,allow,2000
59,5609,ARF20GM09,allow,2000
60,5609,HS7454M17,allow,2000
61,5609,B4KE3DY8N,allow,2000
62,5609,ERZRXB4YE,allow,2000
63,5609,FGF2A60KE,allow,2000
64,5609,ECDTHX53S,allow,2000
65,5609,D09MRRZGG,allow,2000
66,5609,64N8RMZ16,allow,2000
67,5609,3B9Z9S747,allow,2000
68,5609,5PA79W7AY,allow,2000
69,5609,76DB8DVTV,allow,2000
70,5609,HMZZBW7SD,allow,2000
71,5609,S9WC0H6XS,allow,2000
72,5609,KMMBKH3PM,allow,2000
73,5609,TXBNGN940,allow,2000
74,5609,DMA004F61,allow,2000
75,5609,TFR20NP3H,allow,2000
76,5609,VPYFWC5HE,allow,2000
77,5609,YYVDAXNNK,allow,2000
78,5609,8N99RD340,allow,2000
79,5609,DRCN9Y5V4,allow,2000
80,5609,4C7RTXF4C,allow,2000
81,5609,3N2D15N8R,allow,2000
82,5609,3YV55C5S9,allow,2000
83,5609,GNRX07EN2,allow,2000
84,5609,MG4BY0D3W,allow,2000
85,5609,4427W5PWD,allow,2000
86,5609,TWHM89D9X,allow,2000
87,5609,104YASZV0,allow,2000
88,5609,TE3NMNN11,allow,2000
89,5609,B57Y4GFPF,allow,2000
90,5609,GR7SNKFDN,allow,2000
91,5609,3MDVSP1N6,allow,2000
92,5609,NW7CN5Y1A,allow,2000
93,5609,41D1YT1Y1,allow,2000
94,5609,19D56EC38,allow,2000
95,5609,YP310VYEG,allow,2000
96,5609,DF4V85V2D,allow,2000
97,5609,5FH3X9E24,allow,2000
98,5609,DMNAGMX98,allow,2000
99,5609,HK4KM2MT6,allow,2000
100,5609,5P21YW8KB,allow,2000
101,5609,29SRVVY79,allow,2000
102,5609,4DR497B27,allow,2000
103,5609,4NNAFY161,allow,2000
104,5609,R9T8WPXK3,allow,2000
105,5609,YXC5ZGEM4,allow,2000
106,5609,DBF5XVHCP,allow,2000
107,5609,2TT9CZD01,allow,2000
108,5609,589CPRYF6,allow,2000
109,5609,MRMZ3HPVK,allow,2000
110,5609,F5VC1C0FP,allow,2000
111,5609,F74FC4RPF,allow,2000
112,5609,Y4KRXDS1T,allow,2000
113,5609,B98P1MVR3,allow,2000
114,5609,VAF6V9G31,allow,2000
115,5609,3DKKNPGBN,allow,2000
116,5609,5S8FMVABZ,allow,2000
117,5609,4N13K21CZ,allow,2000
118,5609,G1S5XEY3S,allow,2000
119,5609,BRK15XNZH,allow,2000
120,5609,YFMK2ZG97,allow,2000
121,5609,5V1THDXVD,allow,2000
122,5609,80SK9NCC2,allow,2000
123,5609,78T8NCY59,allow,2000
124,5609,YMHHG458Y,allow,2000
125,5609,3EYKT1C0T,allow,2000
126,5609,4WME220M0,allow,2000
127,5609,9NF57V9M6,allow,2000
128,5609,7Y433EZCK,allow,2000
129,5609,NABN36DY1,allow,2000
130,5609,50Y4S02DD,allow,2000
131,5609,Y9XZ659VA,allow,2000
132,5609,DE60B01MW,allow,2000
133,5609,H3WTW19DW,allow,2000
134,5609,CAYV2FTA4,allow,2000
135,5609,WCE6ZHF4Z,allow,2000
136,5609,EN8HB508V,allow,2000
137,5609,1XV0B5K2H,allow,2000
138,5609,4HD132E74,allow,2000
139,5609,Y787EKEEM,allow,2000
140,5609,WBRE8FYH0,allow,2000
141,5609,NTGSPGYYB,allow,2000
142,5609,BK96A84XK,allow,2000
143,5609,KPCXN06NN,allow,2000
144,5609,VX0T58X5R,allow,2000
145,5609,9E971SABH,allow,2000
146,5609,Z5VVKNW0T,allow,2000
147,5609,6D0MK1XX7,allow,2000
148,5609,152VTMV33,allow,2000
149,5609,TB6RRZ169,allow,2000
150,5609,4ZDKY9G89,allow,2000
151,5609,HYXRZK3K4,allow,2000
152,5609,94C24FBZ1,allow,2000
153,5609,GT9D0S5N9,allow,2000
154,5609,2ABSG63E6,allow,2000
155,5609,S0EC5A221,allow,2000
156,5609,ZNA91S9D2,allow,2000
157,5609,S948KZ7PV,allow,2000
158,5609,ZGCRR84V1,allow,2000
159,5609,5N8046G0D,allow,2000
160,5609,6KYVARAX9,allow,2000
161,5609,ZG5MATG26,allow,2000
162,5609,4W3HXVNN2,allow,2000
163,5609,TXZSCV25W,allow,2000
164,5609,7RTTHG612,allow,2000
165,5609,DSXG7DZNB,allow,2000
166,5609,725NRTB5Y,allow,2000
167,5609,ZX3F209KM,allow,2000
168,5609,B6R3Z2FAV,allow,2000
169,5609,TPYPC66B0,allow,2000
170,5609,PGBYX6NGT,allow,2000
171,5609,2TK42TCY3,allow,2000
172,5609,HN03S953Y,allow,2000
173,5609,52XTKV84F,allow,2000
174,5609,KP7CKC698,allow,2000
175,5609,54RBZAG07,allow,2000
176,5609,G7K6A43C6,allow,2000
177,5609,HMW8G2P92,allow,2000
178,5609,GF78PDDZ3,allow,2000
179,5609,FM6M2YDR3,allow,2000
180,5609,EX32H1ZCS,allow,2000
181,5609,7BW3C7037,allow,2000
182,5609,DAXSMEN3Y,allow,2000
183,5609,PW31ECCPE,allow,2000
184,5609,MBRHABV5S,allow,2000
185,5609,CYRDBHS6K,allow,2000
186,5609,TAC3RVYZW,allow,2000
187,5609,SVN1VHC16,allow,2000
188,5609,9TGN39PPH,allow,2000
189,5609,DVVENKP1C,allow,2000
190,5609,BYEYK40EG,allow,2000
191,5609,D4Z0S8GHT,allow,2000
192,5609,7940CEW5K,allow,2000
193,5609,K27XWXEAV,allow,2000
194,5609,74ZWH92CR,allow,2000
195,5609,CZ25ABMSG,allow,2000
196,5609,WV08FSH90,allow,2000
197,5609,115KFFV5B,allow,2000
198,5609,PTGYFGVZX,allow,2000
199,5609,EV8Z4C2A5,allow,2000
200,5609,RNDSA0YSM,allow,2000
201,5609,XS5EZS2Y7,allow,2000
202,5609,4BVG4ARWX,allow,2000
203,5609,NEE1EG3FG,allow,2000
204,5609,SMYD560SD,allow,2000
205,5609,1N5ZMN2ER,allow,2000
206,5609,Z3WT3K8R1,allow,2000
207,5609,G47ZMS37M,allow,2000
208,5609,K6SN1THBM,allow,2000
209,5609,MAATG8YDC,allow,2000
210,5609,R2B45N7EP,allow,2000
211,5609,140W0M8R9,allow,2000
212,5609,RZM1SKZNW,allow,2000
213,5609,EZDC9A3AV,allow,2000
214,5609,41AKF2Z4T,allow,2000
215,5609,B8GR58P49,allow,2000
216,5609,F6SPX452A,allow,2000
217,5609,PG0CMDW11,allow,2000
218,5609,FGXY55C4G,allow,2000
219,5609,FWTBHZ04R,allow,2000
220,5609,RBRYBRE6A,allow,2000
221,5609,RZP4BCG4R,allow,2000
222,5609,XN4P4KHGY,allow,2000
223,5609,AP34AEDXM,allow,2000
224,5609,FA4R5MMWK,allow,2000
225,5609,TWWB8X5Z1,allow,2000
226,5609,A0E3VRE8A,allow,2000
227,5609,10EY16HRA,allow,2000
228,5609,K66VRR8V8,allow,2000
229,5609,WP251D9W9,allow,2000
230,5609,GH845ZH6F,allow,2000
231,5609,2YGRCTX1D,allow,2000
232,5609,RSA4YNRNE,allow,2000
233,5609,CK9FK2CBX,allow,2000
234,5609,D32VG3S16,allow,2000
235,5609,H4T90FYB6,allow,2000
236,5609,1C25F25ZR,allow,2000
237,5609,EG5AHPMKT,allow,2000
238,5609,Y7ZYP7PHT,allow,2000
239,5609,1XR0ZF62N,allow,2000
240,5609,PPXE13V78,allow,2000
