SN,Gtin,Serial no,Status
2553,88,P5RXMKV2Y,notallow
2554,88,KT933CE1G,notallow
2555,88,XYKW64NPZ,notallow
2556,88,MKAN84SXR,notallow
2557,88,84534NNXG,notallow
2558,88,WAYG4RKXX,notallow
2559,88,2WDNMXZZ8,notallow
2560,88,AM9F5PGNB,notallow
2561,88,VW650HPC3,notallow
2562,88,12TA4WW37,notallow
2563,88,M7GVC82GY,notallow
2564,88,93C8WMRTR,notallow
2565,88,YK1FZT487,notallow
2566,88,ZD1SK2NHK,notallow
2567,88,FZ5W0C9ZA,notallow
2568,88,Z5PYSGTTE,notallow
2569,88,SN847A1MM,notallow
2570,88,RY3C1D50H,notallow
2571,88,4N3BVA2GN,notallow
2572,88,8TD846PYM,notallow
2573,88,M6EVDG4Z8,notallow
2574,88,PENYMMP14,notallow
2575,88,5R8W9E8VT,notallow
2576,88,HXP57ZHDD,notallow
2577,88,EGCCZKE6M,notallow
2578,88,T1T20G2NV,notallow
2579,88,SDA3DHVM0,notallow
2580,88,Y5GDGXHT1,notallow
2581,88,N0EW9H32W,notallow
2582,88,1M6G4YMTG,notallow
2583,88,7GY3E6R4E,notallow
2584,88,RH00F7NZ0,notallow
2585,88,4NTM4ZWZY,notallow
2586,88,WV3ACY9CS,notallow
2587,88,5C14Z3NBN,notallow
2588,88,4PB6BCHGR,notallow
2589,88,W66BE8DP7,notallow
2590,88,TCZ6BV67P,notallow
2591,88,R3ACMHPP2,notallow
2592,88,6XC0KHECP,notallow
2593,88,6KDHFE02W,notallow
2594,88,28XNSF9PN,notallow
2595,88,KF5R1YDF9,notallow
2596,88,TH6S3PE22,notallow
2597,88,2AN6KFZ89,notallow
2598,88,KXXH8XFT6,notallow
2599,88,MRPCBX41W,notallow
2600,88,HR62MZ446,notallow
2601,88,48V0AX7DK,notallow
2602,88,CKBWTVTZ5,notallow
2603,88,5G66RYN9D,notallow
2604,88,GBGWP4G62,notallow
2605,88,AV9B169NF,notallow
2606,88,M8TDW2STK,notallow
2607,88,BDPTM7DTG,notallow
2608,88,7984ADRCA,notallow
2609,88,VESXK14N6,notallow
2610,88,35HAFYDX8,notallow
2611,88,DM1P2D8ZH,notallow
2612,88,6CATPYG6F,notallow
2613,88,51PXC5VCV,notallow
2614,88,DRNM6931G,notallow
2615,88,4XAV5C5RV,notallow
2616,88,5D1A6NKDV,notallow
2617,88,V18H4VXXD,notallow
2618,88,GS4AT0CP4,notallow
2619,88,77KYKZ3BE,notallow
2620,88,T705V2TS7,notallow
2621,88,3TG7WBP32,notallow
2622,88,K5GW45KNT,notallow
2623,88,V8NWS6BAC,notallow
2624,88,MMP4E7WB5,notallow
2625,88,B20HK58SE,notallow
2626,88,BF2T1PSEY,notallow
2627,88,Z04THBZ7H,notallow
2628,88,YR6WKYF01,notallow
2629,88,671G0AK3N,notallow
2630,88,D56XK9NX0,notallow
2631,88,H5TFMB072,notallow
2632,88,C222P80BV,notallow
2633,88,NAND6STDK,notallow
2634,88,SH19F7PX5,notallow
2635,88,HZ8742VF8,notallow
2636,88,YZ6H1XMNK,notallow
2637,88,BYZDPZ8V6,notallow
2638,88,9AFDXYFFD,notallow
2639,88,KZ0Z73GB7,notallow
2640,88,WPSREXHK3,notallow
2641,88,GF7SD27V6,notallow
2642,88,C6S9X8BMG,notallow
2643,88,DSYH8RYFD,notallow
2644,88,CM13KDHKN,notallow
2645,88,X36G764CB,notallow
2646,88,DX2WS4YA4,notallow
2647,88,483E48PNR,notallow
2648,88,CKACAKGY0,notallow
2649,88,RHHN0XPDM,notallow
2650,88,46312WEGE,notallow
2651,88,ZWHRPNY62,notallow
2652,88,YKS8TT1W4,notallow
2653,88,ZW7ZTXBDK,notallow
2654,88,7DCDVXGDB,notallow
2655,88,R3Z8ETWNB,notallow
2656,88,TGS2PZ1NP,notallow
2657,88,PGRC5XR0H,notallow
2658,88,WZ1DV9D9V,notallow
2659,88,C40ATR3YZ,notallow
2660,88,ANAX7DWMK,notallow
2661,88,4EHEKSBVY,notallow
2662,88,R9SKYCFRM,notallow
2663,88,25TW3B6CG,notallow
2664,88,Z63PCTV45,notallow
2665,88,HZAAW1GN3,notallow
2666,88,ANV9GBKWZ,notallow
2667,88,WEY3NED2A,notallow
2668,88,EPMTX7HA8,notallow
2669,88,EDMEDHGX9,notallow
2670,88,9YWNF8VS2,notallow
2671,88,8EG0R4XRD,notallow
2672,88,7VAEVYVD6,notallow
2673,88,2TKTCD9M3,notallow
2674,88,2YWZTE68B,notallow
2675,88,9DK9VXGV8,notallow
2676,88,WFCA0CHYD,notallow
2677,88,3T4FW9BY3,notallow
2678,88,G1AKDWTTK,notallow
2679,88,CDB476Z4Z,notallow
2680,88,5X30PK468,notallow
2681,88,M6F68ZW4Y,notallow
2682,88,87H3KWGS1,notallow
2683,88,375VRCVF6,notallow
2684,88,T3YARPM3T,notallow
2685,88,ZR91WF94M,notallow
2686,88,SB65HRSN6,notallow
2687,88,HFCXK125M,notallow
2688,88,EN1PFY5ZZ,notallow
2689,88,M5ZCYWM20,notallow
2690,88,8DPB8B3RY,notallow
2691,88,E6N8XDDEY,notallow
2692,88,YKG078K4Z,notallow
2693,88,YSPFG6WV5,notallow
2694,88,82DBD9NFM,notallow
2695,88,6EM8V63Z9,notallow
2696,88,34K3C64MR,notallow
2697,88,HHNZP0TTN,notallow
2698,88,BM01VWBWK,notallow
2699,88,BRTXZ6179,notallow
2700,88,87VGFVPW5,notallow
2701,88,1V6YAZPZ6,notallow
