SN,Gtin,Serial no,Status
4001,5656,5ET2RGZSY,notallow
4002,5656,NK6Z0DM24,notallow
4003,5656,FWCDRF731,notallow
4004,5656,ZC3GZACG4,notallow
4005,5656,FW8BB3BK3,notallow
4006,5656,ZA5SB8MTZ,notallow
4007,5656,G76GYR8WB,notallow
4008,5656,SYB3VMNAR,notallow
4009,5656,SM3NSNPWN,notallow
4010,5656,X064B815M,notallow
4011,5656,5RKCHAF2V,notallow
4012,5656,4YB2Y8ZRB,notallow
4013,5656,XDG7FY3NP,notallow
4014,5656,6EW98R5H8,notallow
4015,5656,CVM8VP321,notallow
4016,5656,RSX4PWSND,notallow
4017,5656,ZX78VGNTR,notallow
4018,5656,D208RB1XW,notallow
4019,5656,HRK3VWE98,notallow
4020,5656,3G0DE84HY,notallow
4021,5656,3D754F8BP,notallow
4022,5656,D9YM63BYX,notallow
4023,5656,HV1SX46H2,notallow
4024,5656,9BR9H5MFT,notallow
4025,5656,NSYNSHSWD,notallow
4026,5656,MYV4F66FG,notallow
4027,5656,A4FVS78XA,notallow
4028,5656,TFM308WS1,notallow
4029,5656,SNCPA5PS8,notallow
4030,5656,KX6G2T6CN,notallow
4031,5656,EWVNK57CE,notallow
4032,5656,G6G2W2RX3,notallow
4033,5656,7M4BN6PMA,notallow
4034,5656,P5A1WNTA8,notallow
4035,5656,9K6M15FDH,notallow
4036,5656,N5C4BATDZ,notallow
4037,5656,K6S3FEYWM,notallow
4038,5656,DPG3GS3K5,notallow
4039,5656,99FY2XEW0,notallow
4040,5656,BGTVZSN15,notallow
4041,5656,MDBNPEZE0,notallow
4042,5656,AD0Z7G2YM,notallow
4043,5656,D5F4YW9RR,notallow
4044,5656,TN3HT259E,notallow
4045,5656,VV6GDG6HS,notallow
4046,5656,RS19S31DB,notallow
4047,5656,NKKN9AZ4A,notallow
4048,5656,RXNSHZS8N,notallow
4049,5656,GBAHZ93DR,notallow
4050,5656,TTPRER8ZW,notallow
4051,5656,KC7ZTFWEY,notallow
4052,5656,V14DNH35V,notallow
4053,5656,EGA9501CY,notallow
4054,5656,8GZVREXB2,notallow
4055,5656,G4ACF672Y,notallow
4056,5656,CF3BGD4HZ,notallow
4057,5656,Y17BMM5ZY,notallow
4058,5656,8E3CAM2KK,notallow
4059,5656,GTNYBHBY9,notallow
4060,5656,92YMSHMYG,notallow
4061,5656,93BRW6SRW,notallow
4062,5656,XYNBC49KC,notallow
4063,5656,79PZZE45K,notallow
4064,5656,TGRVDN8N3,notallow
4065,5656,4E9NKGNXE,notallow
4066,5656,DHDNZYHKB,notallow
4067,5656,ZETFGHBG5,notallow
4068,5656,WZW37SNGA,notallow
4069,5656,K0KPBKEWA,notallow
4070,5656,XBY1HVGK3,notallow
4071,5656,KAWTW8XR0,notallow
4072,5656,Z21Y2BABE,notallow
4073,5656,5CVKH63HE,notallow
4074,5656,D84RNA1SW,notallow
4075,5656,9KAD05HS7,notallow
4076,5656,ND1RVAV9H,notallow
4077,5656,Y6PZSVWYV,notallow
4078,5656,1HN463P4B,notallow
4079,5656,XZ8VDWCGY,notallow
4080,5656,NAF6V41HK,notallow
4081,5656,DNCRBE07F,notallow
4082,5656,MN25870DW,notallow
4083,5656,ECYE5N6CD,notallow
4084,5656,4TG5DW5HM,notallow
4085,5656,X2EB46CD9,notallow
4086,5656,5EHCCG393,notallow
4087,5656,G0DB4H3ZV,notallow
4088,5656,CNPVAH55E,notallow
4089,5656,V5SHDVB8N,notallow
4090,5656,NNY9EDYEY,notallow
4091,5656,2CMHS66VG,notallow
4092,5656,60FKAB93R,notallow
4093,5656,5Y79S3AV5,notallow
4094,5656,DYDV2K361,notallow
4095,5656,W0030DF8W,notallow
4096,5656,75G8AKE90,notallow
4097,5656,6WD59WMM1,notallow
4098,5656,EMHFCAG6K,notallow
4099,5656,K6F144WCV,notallow
4100,5656,ATENE5BXY,notallow
4101,5656,MCGMB5M59,notallow
4102,5656,F6NN4E9G2,notallow
4103,5656,84MKMTF81,notallow
4104,5656,C0874D102,notallow
4105,5656,4R5YVH0XZ,notallow
4106,5656,CZAY5C6B7,notallow
4107,5656,NGYGB99PA,notallow
4108,5656,NYFPKREP9,notallow
4109,5656,6F94905C0,notallow
4110,5656,M5BA1FHW7,notallow
4111,5656,5WPBGW982,notallow
4112,5656,P1M73BAHV,notallow
4113,5656,Z38F722CH,notallow
4114,5656,ZTP3092P5,notallow
4115,5656,T4VC2SD0S,notallow
4116,5656,CGVN87A19,notallow
4117,5656,2KP4E1EWF,notallow
4118,5656,HX9FW3A60,notallow
4119,5656,PZ7SPXEA8,notallow
4120,5656,1WRF4CVX7,notallow
4121,5656,3XT6BBRG5,notallow
4122,5656,64SXZNT6H,notallow
4123,5656,SR0CGX704,notallow
4124,5656,GRWAB3A72,notallow
4125,5656,ZBZVZBMPK,notallow
4126,5656,50SG0HZ4R,notallow
4127,5656,7M16G3W3N,notallow
4128,5656,PGFDCNP03,notallow
4129,5656,3SMMZ65E9,notallow
4130,5656,BSYZF0624,notallow
4131,5656,H57VKAG4R,notallow
4132,5656,XEXFAP82E,notallow
4133,5656,NWB191DXN,notallow
4134,5656,TGT9HAHZK,notallow
4135,5656,BGVDD235V,notallow
4136,5656,Y78CE80GS,notallow
4137,5656,S27FX3ABC,notallow
4138,5656,YVA1VANHH,notallow
4139,5656,6AWR9GVEC,notallow
4140,5656,SAWW0XMNY,notallow
4141,5656,8YNYRB21G,notallow
4142,5656,GBVHXEA9D,notallow
4143,5656,EKVH2YXPG,notallow
4144,5656,ZN18743ER,notallow
4145,5656,ZSFK4R5C5,notallow
4146,5656,5RHSNYGFW,notallow
4147,5656,CRMXSEZHF,notallow
4148,5656,YSR8WP6A0,notallow
4149,5656,T1WWKME7R,notallow
4150,5656,P7HE0G09S,notallow
4151,5656,95VKEXZNK,notallow
4152,5656,AC2B9YEV4,notallow
4153,5656,P4SE8MAW5,notallow
4154,5656,K7TEABY1X,notallow
4155,5656,8XHT8YZ3X,notallow
4156,5656,KDHAKDARH,notallow
4157,5656,S0DS2YY10,notallow
4158,5656,HFDFEA1S6,notallow
4159,5656,5WDMGFZ6S,notallow
4160,5656,PXF09FHDC,notallow
4161,5656,4H81PX7FZ,notallow
4162,5656,G8CRHV0DV,notallow
4163,5656,XE7V8Z03B,notallow
4164,5656,BCZY0GAWC,notallow
4165,5656,MNTM3A4B9,notallow
4166,5656,CZTANPTP0,notallow
4167,5656,6AH67SM5R,notallow
4168,5656,ASYT5XEHF,notallow
4169,5656,XN3H9458X,notallow
4170,5656,TWK7T3V18,notallow
4171,5656,Z76R0NSZH,notallow
4172,5656,9Y2XWR148,notallow
4173,5656,5FPHPREB1,notallow
4174,5656,3HGXTF9DD,notallow
4175,5656,1K8N9K01A,notallow
4176,5656,BWTN6TESG,notallow
4177,5656,VNWZGVZ3N,notallow
4178,5656,WCH41C2CM,notallow
4179,5656,TSBPPMGXH,notallow
4180,5656,RYS99F1Z9,notallow
4181,5656,XGMY6FTCE,notallow
4182,5656,T39DNF408,notallow
4183,5656,X6DGDRMRP,notallow
4184,5656,6FSP9MTSA,notallow
4185,5656,A5W1KRZ9H,notallow
4186,5656,EVY2W01CH,notallow
4187,5656,WDSFEMSKM,notallow
4188,5656,BEWVE4XKZ,notallow
4189,5656,XE69Z7FC6,notallow
4190,5656,44HCWA135,notallow
4191,5656,160AGXMVP,notallow
4192,5656,EFS9CAHZ1,notallow
4193,5656,ZZ0RFSX2K,notallow
4194,5656,VZPPY61N8,notallow
4195,5656,T76YN0PHZ,notallow
4196,5656,7CRRDEVNK,notallow
4197,5656,PN10WGRE3,notallow
4198,5656,HXXBR400P,notallow
4199,5656,4RGY2W1N6,notallow
4200,5656,BA416ZN4D,notallow
4201,5656,CZ42ZBRAP,notallow
4202,5656,DGPEP5261,notallow
4203,5656,M9XHV7R40,notallow
4204,5656,YW1C0S6SA,notallow
4205,5656,H2S7NVDM4,notallow
4206,5656,SXC96C7PY,notallow
4207,5656,7KBXAMGBH,notallow
4208,5656,3THYF77NM,notallow
4209,5656,VH10H4HN7,notallow
4210,5656,WZKAAFZ0V,notallow
4211,5656,SBXHT4WFR,notallow
4212,5656,NNF388G0X,notallow
4213,5656,M085KZKYW,notallow
4214,5656,WPVA935C7,notallow
4215,5656,6X6ECF2VM,notallow
4216,5656,Y4XX9PBAB,notallow
4217,5656,T7G8FE7KD,notallow
4218,5656,Y120W0VR6,notallow
4219,5656,Z4TB5WS8T,notallow
4220,5656,FH998RVT4,notallow
4221,5656,GXY81N9MR,notallow
4222,5656,7CX2M596Z,notallow
4223,5656,FMVZF5WY9,notallow
4224,5656,E6B2MKSC6,notallow
4225,5656,VHC5BKHEM,notallow
4226,5656,9EBG5P7BH,notallow
4227,5656,XT1NVR654,notallow
4228,5656,7T034EENB,notallow
4229,5656,Y2VDB4SH9,notallow
4230,5656,N3AM3N3ZY,notallow
4231,5656,9YMFEBXTH,notallow
4232,5656,NG9W9R7EH,notallow
4233,5656,GG5ERFVZ3,notallow
4234,5656,HH37E6AR8,notallow
4235,5656,9KZ3A7SB4,notallow
4236,5656,C627X2DCA,notallow
4237,5656,GB02C296H,notallow
4238,5656,6H4FR5HKW,notallow
4239,5656,S2FR2A36D,notallow
4240,5656,6X4GKYC1F,notallow
4241,5656,TH50GRRWN,notallow
4242,5656,2BKG4B2C6,notallow
4243,5656,Y91T8B2BF,notallow
4244,5656,E92GEAGP4,notallow
4245,5656,HE50W9N60,notallow
4246,5656,E6SH8XWB8,notallow
4247,5656,DDWM6F4DS,notallow
4248,5656,HDWEC9WC1,notallow
4249,5656,ZAPEMKKZT,notallow
4250,5656,21T4KR7RH,notallow
4251,5656,H567CM2K0,notallow
4252,5656,6CHBTWGEE,notallow
4253,5656,X8W0N3YTV,notallow
4254,5656,55XPENV8X,notallow
4255,5656,41M290ZB5,notallow
4256,5656,EPCBEGXD7,notallow
4257,5656,E4ZR0026W,notallow
4258,5656,9RM4WHTE2,notallow
4259,5656,E0ESW8NXX,notallow
4260,5656,YPCGDP4YD,notallow
4261,5656,MDPM4SMKN,notallow
4262,5656,X9NRGGXVR,notallow
4263,5656,VMAF4ZG7E,notallow
4264,5656,NNE4CFBMG,notallow
4265,5656,SB5871YCA,notallow
4266,5656,82XZSABAF,notallow
4267,5656,1B0SBM7NF,notallow
4268,5656,17P4D5CX1,notallow
4269,5656,PX4RP7P84,notallow
4270,5656,5VXXRT54D,notallow
4271,5656,3PWXR52WB,notallow
4272,5656,RNWK3PWE8,notallow
4273,5656,19Z4X0G9X,notallow
4274,5656,RADBG7MDT,notallow
4275,5656,V144X23K8,notallow
4276,5656,FCKW1CCXD,notallow
4277,5656,23ZTR8ATC,notallow
4278,5656,N2N08AR1K,notallow
4279,5656,GG17FAKNK,notallow
4280,5656,82P4AZYWT,notallow
4281,5656,2M2YV7R9R,notallow
4282,5656,SXK9SANSM,notallow
4283,5656,727ZCNHGF,notallow
4284,5656,TRPWGD5GB,notallow
4285,5656,RAVKWN81H,notallow
4286,5656,SH9ARKEH5,notallow
4287,5656,A1W18H0KD,notallow
4288,5656,2E3FN8NWV,notallow
4289,5656,KYW9DG4XK,notallow
4290,5656,74WZ8GAP8,notallow
4291,5656,9M5045193,notallow
4292,5656,C815W4NKP,notallow
4293,5656,6GRE64EBN,notallow
4294,5656,N07DFRWTK,notallow
4295,5656,T3AZ2HX6X,notallow
4296,5656,A91KXYY65,notallow
4297,5656,40DX0H7KK,notallow
4298,5656,217BS37ZW,notallow
4299,5656,E1BC9DZGY,notallow
4300,5656,2ATTGNC8G,notallow
4301,5656,D7XHE5K4H,notallow
4302,5656,D3BH6NBB2,notallow
4303,5656,ZC5CSK47B,notallow
4304,5656,TADS057Y6,notallow
4305,5656,WF4Z6ETHE,notallow
4306,5656,GK90436EP,notallow
4307,5656,96FNRRKCW,notallow
4308,5656,YB0MKXD25,notallow
4309,5656,DB7YX2DVX,notallow
4310,5656,RPB4B9587,notallow
4311,5656,ANK46YYR7,notallow
4312,5656,5CMKB3K8W,notallow
4313,5656,926V2E52S,notallow
4314,5656,GA97ZEM7H,notallow
4315,5656,DKE5HM5VM,notallow
4316,5656,20WSYY6ZS,notallow
4317,5656,DNAKS2994,notallow
4318,5656,V5VD0R4YY,notallow
4319,5656,D0V04YV8M,notallow
4320,5656,9CF36Y8FD,notallow
4321,5656,HRFE2DK36,notallow
4322,5656,PR9EWM6N8,notallow
4323,5656,5AS9B0ECW,notallow
4324,5656,C9H7RWNFN,notallow
4325,5656,RK5P97M16,notallow
4326,5656,9WD4N7VNT,notallow
4327,5656,WAW9F24HS,notallow
4328,5656,5GST9AGHE,notallow
4329,5656,YF1121ZTC,notallow
4330,5656,5XAD890BS,notallow
4331,5656,4S6NV4C5G,notallow
4332,5656,M48HV7NPY,notallow
4333,5656,6P3748NHB,notallow
4334,5656,6Z7K55RDW,notallow
4335,5656,FAS2FBPV2,notallow
4336,5656,BCKG1FTD5,notallow
4337,5656,WEXADK3XV,notallow
4338,5656,F8K1FWS5T,notallow
4339,5656,CXB232RT4,notallow
4340,5656,CKG6WKKB9,notallow
4341,5656,5MA1Y07P2,notallow
4342,5656,3746TCMBM,notallow
4343,5656,9H978NWXD,notallow
4344,5656,N1VTFP87C,notallow
4345,5656,5ZKVRPNN1,notallow
4346,5656,H9AC16NFM,notallow
4347,5656,9C2E7MZSS,notallow
4348,5656,609DVVT4C,notallow
4349,5656,EC8ME8PXC,notallow
4350,5656,NSE260VRM,notallow
4351,5656,E4TG0KZXM,notallow
4352,5656,YG9RBM0YD,notallow
4353,5656,NP6MD0WX5,notallow
4354,5656,HPC6BP9D6,notallow
4355,5656,85KSH2PEK,notallow
4356,5656,B0BNEHDPD,notallow
4357,5656,E08GBZK80,notallow
4358,5656,XDA09H7ES,notallow
4359,5656,TPPG4AA74,notallow
4360,5656,VS5WTSERE,notallow
4361,5656,8P5WNBECW,notallow
4362,5656,VFSN8E2BX,notallow
4363,5656,GZA3EKH9X,notallow
4364,5656,T7GERDSSE,notallow
4365,5656,29PKCYDGM,notallow
4366,5656,V6W10W0WP,notallow
4367,5656,FR8321C4S,notallow
4368,5656,P7PXW23F9,notallow
4369,5656,YFKE3TKGX,notallow
4370,5656,EMZW1BDAB,notallow
4371,5656,DWDD5MV8Y,notallow
4372,5656,P2TVP49FV,notallow
4373,5656,1DK7W6KAK,notallow
4374,5656,GYX4DPG1V,notallow
4375,5656,M2ED36RRH,notallow
4376,5656,T7F59HTRY,notallow
4377,5656,NZYXSXAVG,notallow
4378,5656,FRWKZ4ZCT,notallow
4379,5656,5SWHX0D4Z,notallow
4380,5656,R5SNTNYAF,notallow
4381,5656,KTK54M9SF,notallow
4382,5656,1H9CWCV6G,notallow
4383,5656,2SGHN5F32,notallow
4384,5656,25MPT2YDH,notallow
4385,5656,CMVKHVEKA,notallow
4386,5656,C63MWNHMY,notallow
4387,5656,33FV07YGB,notallow
4388,5656,3PDPEYAMB,notallow
4389,5656,K4WGSCEVH,notallow
4390,5656,8627H07EC,notallow
4391,5656,XBNHD58S3,notallow
4392,5656,AY201Z8Y2,notallow
4393,5656,R1RR8ZSH9,notallow
4394,5656,NSYEK5NZY,notallow
4395,5656,83NA96HK8,notallow
4396,5656,M23ZW85KD,notallow
4397,5656,XENV8DNWN,notallow
4398,5656,DC57ZGPGZ,notallow
4399,5656,V99X412WK,notallow
4400,5656,HXK5VHCP9,notallow
4401,5656,2EG15XET0,notallow
4402,5656,BE795ABDN,notallow
4403,5656,XPWF7HA43,notallow
4404,5656,7BPM5MYDH,notallow
4405,5656,66TKY8W2R,notallow
4406,5656,D0DPBET4K,notallow
4407,5656,5P8F5MEVX,notallow
4408,5656,G871W7ZRR,notallow
4409,5656,EH82W6PP2,notallow
4410,5656,TBDVN3H92,notallow
4411,5656,FW5H5M6N4,notallow
4412,5656,4267P6632,notallow
4413,5656,4YG3VN1DF,notallow
4414,5656,W8WABS1X3,notallow
4415,5656,39W90NZBK,notallow
4416,5656,AG5XV5C86,notallow
4417,5656,4E749WY0Y,notallow
4418,5656,B83G87EDW,notallow
4419,5656,80SXZ3VPY,notallow
4420,5656,29EY2Y08M,notallow
4421,5656,GY576NCZ4,notallow
4422,5656,ESE1G6KKZ,notallow
4423,5656,KAG2K043A,notallow
4424,5656,PPKA3WN4H,notallow
4425,5656,27M652PN9,notallow
4426,5656,HP4VMVN7Z,notallow
4427,5656,KA2E6YBAC,notallow
4428,5656,8XDX4ZYXZ,notallow
4429,5656,MA45RG2NK,notallow
4430,5656,5CH7WXA68,notallow
4431,5656,HP9WBTPSW,notallow
4432,5656,601FGY4HG,notallow
4433,5656,ZAMHYPWYT,notallow
4434,5656,H42PZEW0W,notallow
4435,5656,T7GKW5PS9,notallow
4436,5656,11750T399,notallow
4437,5656,R41HHC69R,notallow
4438,5656,KGX5PK14B,notallow
4439,5656,WB1RX3CAF,notallow
4440,5656,XM9T4HM1V,notallow
4441,5656,89X8YKZ4D,notallow
4442,5656,ASDG3ERNW,notallow
4443,5656,GCS93BM2G,notallow
4444,5656,Y2MVN69WK,notallow
4445,5656,9DFSBAXR0,notallow
4446,5656,FSGPVMNGK,notallow
4447,5656,ZW0G8WCWS,notallow
4448,5656,W5D34WRCT,notallow
4449,5656,PKGRX5Z4M,notallow
4450,5656,H6TBZ9NMK,notallow
4451,5656,WS7PV6WW5,notallow
4452,5656,V9NS7VXC2,notallow
4453,5656,XYBW20NDR,notallow
4454,5656,HY9CGF1S5,notallow
4455,5656,PRPAGCY84,notallow
4456,5656,M18XWF05X,notallow
4457,5656,Z19RNT7YG,notallow
4458,5656,CHG0BE3H5,notallow
