SN,Gtin,Serial no,Status
3501,3203,97C7BVZHX,notallow
3502,3203,HP2Z17PB6,notallow
3503,3203,294YGMPEK,notallow
3504,3203,XZNG6YDMS,notallow
3505,3203,D75E1CW5M,notallow
3506,3203,M7RCKXR22,notallow
3507,3203,SEZ4EVBKC,notallow
3508,3203,H8NM34757,notallow
3509,3203,22BY30DGE,notallow
3510,3203,X2RVT2Y0B,notallow
3511,3203,1DXP4DSFS,notallow
3512,3203,BW18K4RKS,notallow
3513,3203,4SZDCV21N,notallow
3514,3203,FP6DW4X3D,notallow
3515,3203,F6GMG7E72,notallow
3516,3203,M4TGXYMP2,notallow
3517,3203,KG5Y6BH56,notallow
3518,3203,WY6P9MKFT,notallow
3519,3203,CREF28VCG,notallow
3520,3203,3491XSEPB,notallow
3521,3203,GWEC81SF1,notallow
3522,3203,Y254E1TTK,notallow
3523,3203,AX3GCSAFN,notallow
3524,3203,TVDK5YHCY,notallow
3525,3203,AP20253MV,notallow
3526,3203,6HWZ8W49Y,notallow
3527,3203,Y3S5461DY,notallow
3528,3203,SM5PKF4E6,notallow
3529,3203,H0RA47T1H,notallow
3530,3203,XV1V7ZR5Z,notallow
3531,3203,70B5ANYF7,notallow
3532,3203,W9V223W6N,notallow
3533,3203,79A2S61VV,notallow
3534,3203,2FVDM6C74,notallow
3535,3203,6NRP4AP1E,notallow
3536,3203,VHSD65FEH,notallow
3537,3203,WYE3W74P9,notallow
3538,3203,V30HCN5SB,notallow
3539,3203,FMEHD8E85,notallow
3540,3203,EW98KXY63,notallow
3541,3203,ZV7WPE1R6,notallow
3542,3203,SGEMBYR99,notallow
3543,3203,Y5M1T8HRM,notallow
3544,3203,E8BE02CV9,notallow
3545,3203,KAG9VEF20,notallow
3546,3203,W76ZG4XS1,notallow
3547,3203,T35GZZ653,notallow
3548,3203,1T202EZNA,notallow
3549,3203,SX69DA12G,notallow
3550,3203,DC591EXPE,notallow
3551,3203,RZBNK17F2,notallow
3552,3203,EM9WYDGCT,notallow
3553,3203,37DPB2SXF,notallow
3554,3203,SSC2ZTG1A,notallow
3555,3203,Z4BRRGVK6,notallow
3556,3203,HB7ZM37AT,notallow
3557,3203,BZCGTS56A,notallow
3558,3203,A49A4KT7F,notallow
3559,3203,TFT4HXB6H,notallow
3560,3203,1P5RCK6SR,notallow
3561,3203,H98HCW45K,notallow
3562,3203,ACAVSH2R8,notallow
3563,3203,CSAA2WE58,notallow
3564,3203,ZX7CSK4V5,notallow
3565,3203,8PPETTEMC,notallow
3566,3203,RC72K6N6A,notallow
3567,3203,5VM3SD9BE,notallow
3568,3203,7FG0Z40FK,notallow
3569,3203,P7P5TGSZS,notallow
3570,3203,X1HW8GENR,notallow
3571,3203,7W0V0EW6E,notallow
3572,3203,XKZDRR31S,notallow
3573,3203,38ZK8REGY,notallow
3574,3203,1ZFN93HS0,notallow
3575,3203,FMP96BGP1,notallow
3576,3203,MW40MBW12,notallow
3577,3203,PVY2ASKKC,notallow
3578,3203,K1PHM4KY0,notallow
3579,3203,33WC5TGAH,notallow
3580,3203,NWC9HD464,notallow
3581,3203,A1KD73DG0,notallow
3582,3203,C8E6NNDMD,notallow
3583,3203,E7H013YMD,notallow
3584,3203,610Y76GSR,notallow
3585,3203,RPE78HP6W,notallow
3586,3203,8G6HSXAE2,notallow
3587,3203,EA0GWAEWA,notallow
3588,3203,7WTMFN8TH,notallow
3589,3203,HZ7T46CMM,notallow
3590,3203,N03HT38EC,notallow
3591,3203,XN8VFVADZ,notallow
3592,3203,1V0B3A9C3,notallow
3593,3203,ZV4C9WTY6,notallow
3594,3203,2G9M9ARKR,notallow
3595,3203,RFKZBB9WR,notallow
3596,3203,RK16K8R6Y,notallow
3597,3203,TSZHKX6M6,notallow
3598,3203,3SZN734ED,notallow
3599,3203,774YB30N2,notallow
3600,3203,CGW6H8XN9,notallow
3601,3203,SB5RYAHHD,notallow
3602,3203,137Y4PVF7,notallow
3603,3203,SCKK61HC5,notallow
3604,3203,34EVK1H7E,notallow
3605,3203,T5WZWK98N,notallow
3606,3203,M9K4ZW5K0,notallow
3607,3203,NVE27VYBD,notallow
3608,3203,H40PKHPTC,notallow
3609,3203,9N0FBB1DN,notallow
3610,3203,VS3GC42X6,notallow
3611,3203,DC9XZZF98,notallow
3612,3203,MMS37W699,notallow
3613,3203,CK45HHVCT,notallow
3614,3203,2VDT42HVG,notallow
3615,3203,RK7Y5GDFF,notallow
3616,3203,51KTRSFAM,notallow
3617,3203,NZEF4E2A0,notallow
3618,3203,DHYD63KHN,notallow
3619,3203,V8R02RV13,notallow
3620,3203,AKXPN8E10,notallow
